2014/04/22 09:44:39.240, A-2013-P49540, 0001, I, 060100001, ###### Welcome to Canon CXDI Controller RF. Copyright by CANON INC. 2014 V2.12.0.11 ######, , , Logging.LogManager
2014/04/22 09:44:42.331, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetInstance()], , , Exam.ExamFacade
2014/04/22 09:44:42.332, A-2013-P49540, 0001, I, 020200017, Workflow : ExamFacade.GetInstance : 42.331, , , WorkflowLibrary.Workflow
2014/04/22 09:44:42.334, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemInfoModelName : 42.333, , , WorkflowLibrary.Configflow
2014/04/22 09:44:42.334, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemInfoModelName()], , , Exam.ExamFacade
2014/04/22 09:44:42.446, A-2013-P49540, 0001, I, 020200001, WindowUtility : SetMainWindowStartupLocation Window.Name = windStartup, Top = 0, Left = 0, Height = 1080, Width = 1920,  : 42.443, , , WindowLibrary.WindowUtility
2014/04/22 09:44:43.178, A-2013-P49540, 0001, I, 020200001, WindowUtility : SetMainWindowStartupLocation Window.Name = windMain, Top = 0, Left = 0, Height = 1080, Width = 1920,  : 43.178, , , WindowLibrary.WindowUtility
2014/04/22 09:44:43.810, A-2013-P49540, 0001, I, 020200005, Configflow : ExamFacade.GetInstance : 43.809, , , WorkflowLibrary.Configflow
2014/04/22 09:44:43.814, A-2013-P49540, 0001, I, 020200012, Outputflow : ExamFacade.GetInstance : 43.813, , , WorkflowLibrary.Outputflow
2014/04/22 09:44:43.919, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetHDDUseCapacityInfo()], , , Exam.ExamFacade
2014/04/22 09:44:43.928, A-2013-P49540, 0001, I, 020200017, Workflow : facade.GetPackageEdition : 43.928, , , WorkflowLibrary.Workflow
2014/04/22 09:44:43.929, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetPackageEdition()], , , Exam.ExamFacade
2014/04/22 09:44:43.930, A-2013-P49540, 0001, I, 020200017, Workflow : facade.ValidateProduct : 43.930, , , WorkflowLibrary.Workflow
2014/04/22 09:44:43.930, A-2013-P49540, 0001, I, 030101001, G->F CALL [ValidateProduct()], , , Exam.ExamFacade
2014/04/22 09:44:43.988, A-2013-P49540, 0001, I, 020200017, Workflow.setHighPerfomanceMode() Success, , , WorkflowLibrary.Workflow
2014/04/22 09:44:44.035, A-2013-P49540, 0001, I, 020200017, Workflow.setHybridSleep() Success, , , WorkflowLibrary.Workflow
2014/04/22 09:44:44.080, A-2013-P49540, 0001, I, 020200017, Workflow.setVideoPowerDownTimeOut() Success, , , WorkflowLibrary.Workflow
2014/04/22 09:44:44.126, A-2013-P49540, 0001, I, 020200017, Workflow.setPcStanbyTimeOut() Success, , , WorkflowLibrary.Workflow
2014/04/22 09:44:44.126, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataApplicationSettingFlags()], , , Exam.ExamFacade
2014/04/22 09:44:44.128, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetGeneratorSetting()], , , Exam.ExamFacade
